SMILES,Receptor,Inhibition %,Molecule ChEMBL ID,Receptor ChEMBL ID,Active,Activity Level
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,LuxR,63.3,CHEMBL83,CHEMBL5351,1,2
CC1=C(Br)/C(=C\Br)OC1=O,LasR,46.0,CHEMBL3116447,CHEMBL1075207,1,1
CCC(C)c1ccc(OCCOc2ccc(Cl)cc2CNn2cnnc2)cc1,LasR,30.0,CHEMBL4547348,CHEMBL1075207,1,1
CCCC(=O)CC(=O)N[C@H]1CCSC1=O,LasR,-23.0,CHEMBL1823930,CHEMBL1075207,0,0
CCCC(=O)CC(=O)N[C@H]1CCSC1=O,LuxR,62.0,CHEMBL1823930,CHEMBL5351,1,2
CCCC(=O)N[C@H]1CCSC1=O,LasR,-24.0,CHEMBL1814830,CHEMBL1075207,0,0
CCCC(=O)N[C@H]1CCSC1=O,LuxR,42.0,CHEMBL1814830,CHEMBL5351,1,1
CCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,LasR,50.0,CHEMBL463321,CHEMBL1075207,1,1
CCCCCC(=O)CC(=O)N[C@H]1CCSC1=O,LasR,-8.0,CHEMBL1814829,CHEMBL1075207,0,0
CCCCCC(=O)CC(=O)N[C@H]1CCSC1=O,LuxR,99.0,CHEMBL1814829,CHEMBL5351,1,2
CCCCCC(=O)N[C@H]1CCSC1=O,LasR,-23.0,CHEMBL1814831,CHEMBL1075207,0,0
CCCCCC(=O)N[C@H]1CCSC1=O,LuxR,93.0,CHEMBL1814831,CHEMBL5351,1,2
CCCCCC(=O)Nc1c(-c2ccccc2)[nH]c2ccccc12,LasR,65.0,CHEMBL4277008,CHEMBL1075207,1,2
CCCCCCC(=O)N[C@H]1CCSC1=O,LasR,-8.0,CHEMBL1814832,CHEMBL1075207,0,0
CCCCCCC(=O)N[C@H]1CCSC1=O,LuxR,78.0,CHEMBL1814832,CHEMBL5351,1,2
CCCCCCCC(=O)N[C@H]1CCOC1=O,LasR,50.0,CHEMBL259352,CHEMBL1075207,1,1
CCCCCCCC(=O)N[C@H]1CCSC1=O,LasR,-7.0,CHEMBL1812080,CHEMBL1075207,0,0
CCCCCCCC(=O)N[C@H]1CCSC1=O,LuxR,80.0,CHEMBL1812080,CHEMBL5351,1,2
CCCCCCCCC(=O)CC(=O)Nc1cccc(OC)c1,LasR,74.0,CHEMBL4441111,CHEMBL1075207,1,2
CCCCCCCCCC(=O)CC(=O)CCNC1CCCCC1=O,LasR,35.0,CHEMBL4473962,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)CCN[C@H]1CCC[C@@H]1O,LasR,70.0,CHEMBL4464695,CHEMBL1075207,1,2
CCCCCCCCCC(=O)CC(=O)NC1CCCC1,LasR,-1.0,CHEMBL1812101,CHEMBL1075207,0,0
CCCCCCCCCC(=O)CC(=O)NC1CCCC1,LuxR,89.0,CHEMBL1812101,CHEMBL5351,1,2
CCCCCCCCCC(=O)CC(=O)NC1CCSC1=O,LasR,-49.0,CHEMBL8811,CHEMBL1075207,0,0
CCCCCCCCCC(=O)CC(=O)NC1CCSC1=O,LuxR,91.0,CHEMBL8811,CHEMBL5351,1,2
CCCCCCCCCC(=O)CC(=O)NCC(=O)OCC,LasR,11.0,CHEMBL1812114,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCC(=O)OCC,LuxR,-22.0,CHEMBL1812114,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCCC(c1ccccc1)c1ccccc1,LasR,8.0,CHEMBL1812103,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCCC(c1ccccc1)c1ccccc1,LuxR,-39.0,CHEMBL1812103,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCCC1=CCCCC1,LasR,-7.0,CHEMBL1812110,CHEMBL1075207,0,0
CCCCCCCCCC(=O)CC(=O)NCCC1=CCCCC1,LuxR,35.0,CHEMBL1812110,CHEMBL5351,1,1
CCCCCCCCCC(=O)CC(=O)NCCc1ccccc1,LasR,5.0,CHEMBL1812113,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCCc1ccccc1,LuxR,7.0,CHEMBL1812113,CHEMBL5351,1,1
CCCCCCCCCC(=O)CC(=O)NCc1c(F)cccc1F,LasR,5.0,CHEMBL1812107,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1c(F)cccc1F,LuxR,-24.0,CHEMBL1812107,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCc1cc(F)cc(F)c1,LasR,16.0,CHEMBL1812106,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1cc(F)cc(F)c1,LuxR,-33.0,CHEMBL1812106,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCc1ccc(F)cc1,LasR,13.0,CHEMBL1812104,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1ccc(F)cc1,LuxR,-35.0,CHEMBL1812104,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCc1ccc(OC)c(OC)c1,LasR,9.0,CHEMBL1812102,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1ccc(OC)c(OC)c1,LuxR,-14.0,CHEMBL1812102,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCc1ccc(OC)cc1,LasR,38.0,CHEMBL1812112,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1ccc(OC)cc1,LuxR,15.0,CHEMBL1812112,CHEMBL5351,1,1
CCCCCCCCCC(=O)CC(=O)NCc1cccc([N+](=O)[O-])c1,LasR,17.0,CHEMBL1812111,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1cccc([N+](=O)[O-])c1,LuxR,44.0,CHEMBL1812111,CHEMBL5351,1,1
CCCCCCCCCC(=O)CC(=O)NCc1ccccc1F,LasR,13.0,CHEMBL1812105,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1ccccc1F,LuxR,-27.0,CHEMBL1812105,CHEMBL5351,0,0
CCCCCCCCCC(=O)CC(=O)NCc1ccco1,LasR,26.0,CHEMBL1812108,CHEMBL1075207,1,1
CCCCCCCCCC(=O)CC(=O)NCc1ccco1,LuxR,-4.0,CHEMBL1812108,CHEMBL5351,0,0
